epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.9189,1.33678,3.55188,0.00891,0.63995,0.40024,0.48378,0.30436,1.23408,3.70392,0.01266,0.000661333,0.000661333,0.000661333
2,143.698,1.48377,2.64948,0.01113,0.54367,0.40385,0.42413,0.22646,1.66604,2.24869,0.02193,0.00132792,0.00132792,0.00132792
3,195.629,1.6307,2.28595,0.01275,0.55397,0.41947,0.4432,0.22071,1.68043,2.07903,0.02068,0.00199418,0.00199418,0.00199418
4,250.991,1.71001,2.11833,0.01333,0.5545,0.3726,0.39781,0.1998,1.79771,2.157,0.0237,0.0019989,0.0019989,0.0019989
5,303.666,1.66627,2.01459,0.01322,0.45785,0.32212,0.31139,0.15536,1.75776,2.46666,0.02237,0.00199805,0.00199805,0.00199805
6,357.41,1.68948,1.92851,0.01307,0.59219,0.42909,0.48562,0.25976,1.65836,1.81605,0.01964,0.00199695,0.00199695,0.00199695
7,410.523,1.66594,1.87976,0.01333,0.54085,0.45673,0.48721,0.25536,1.70785,1.83304,0.021,0.00199561,0.00199561,0.00199561
8,464.097,1.66339,1.85651,0.01309,0.62033,0.4387,0.50655,0.26057,1.69041,1.85514,0.02109,0.00199402,0.00199402,0.00199402
9,517.243,1.65592,1.78437,0.0129,0.51061,0.5,0.49723,0.26493,1.61453,1.72849,0.01994,0.00199219,0.00199219,0.00199219
10,570.746,1.66963,1.78498,0.01299,0.57588,0.46755,0.4933,0.25645,1.72339,1.9825,0.02093,0.00199012,0.00199012,0.00199012
11,625.532,1.63806,1.75027,0.01259,0.69544,0.49159,0.56768,0.30094,1.62416,1.64677,0.01954,0.00198781,0.00198781,0.00198781
12,677.85,1.61091,1.71842,0.01238,0.54346,0.4976,0.51338,0.28094,1.60421,1.74341,0.01909,0.00198526,0.00198526,0.00198526
13,732.073,1.6179,1.71085,0.01227,0.64167,0.51322,0.56676,0.30459,1.66707,1.5994,0.02019,0.00198246,0.00198246,0.00198246
14,785.48,1.60836,1.69757,0.01253,0.60734,0.48918,0.54299,0.3031,1.578,1.6856,0.01795,0.00197943,0.00197943,0.00197943
15,839.671,1.6129,1.65717,0.01228,0.61004,0.49279,0.54593,0.29746,1.58354,1.64481,0.0197,0.00197616,0.00197616,0.00197616
16,893.725,1.60402,1.66227,0.01237,0.59698,0.49494,0.51812,0.28527,1.72068,1.78168,0.02095,0.00197265,0.00197265,0.00197265
17,947.689,1.62039,1.63047,0.01211,0.66053,0.46995,0.56312,0.31457,1.5857,1.66612,0.01927,0.0019689,0.0019689,0.0019689
18,1002.53,1.59459,1.60686,0.01225,0.6759,0.48918,0.57588,0.31919,1.55208,1.55411,0.01772,0.00196491,0.00196491,0.00196491
19,1055.41,1.58983,1.59041,0.01188,0.63074,0.50721,0.55911,0.31825,1.58672,1.53275,0.01843,0.00196069,0.00196069,0.00196069
20,1109.93,1.58004,1.57817,0.01206,0.63833,0.50701,0.57255,0.31959,1.56695,1.57931,0.01836,0.00195624,0.00195624,0.00195624
21,1163.2,1.56808,1.58864,0.01188,0.65268,0.49012,0.57433,0.32324,1.55137,1.62544,0.01834,0.00195155,0.00195155,0.00195155
22,1217.53,1.56807,1.55437,0.01161,0.67299,0.50721,0.58763,0.33011,1.56508,1.50322,0.01829,0.00194662,0.00194662,0.00194662
23,1271.25,1.58758,1.54772,0.01188,0.61778,0.52885,0.57962,0.32782,1.58772,1.52741,0.02039,0.00194147,0.00194147,0.00194147
24,1325.34,1.57024,1.53018,0.01147,0.62929,0.52028,0.57582,0.3433,1.53751,1.47337,0.01772,0.00193609,0.00193609,0.00193609
25,1380.2,1.56803,1.52413,0.01139,0.61513,0.55649,0.59103,0.33711,1.51383,1.49181,0.01666,0.00193048,0.00193048,0.00193048
26,1433.66,1.54478,1.52374,0.01145,0.65416,0.52524,0.57088,0.33373,1.56726,1.51169,0.01791,0.00192464,0.00192464,0.00192464
27,1487.8,1.55687,1.49969,0.01154,0.64649,0.55529,0.61397,0.35688,1.51774,1.39838,0.01799,0.00191858,0.00191858,0.00191858
28,1540.35,1.53234,1.47138,0.01136,0.63267,0.5548,0.60441,0.34807,1.56582,1.44123,0.01808,0.00191229,0.00191229,0.00191229
29,1594.56,1.52904,1.47545,0.0111,0.65699,0.54928,0.60332,0.35352,1.55691,1.48341,0.01767,0.00190578,0.00190578,0.00190578
30,1646.78,1.5427,1.44961,0.0112,0.65624,0.53245,0.58378,0.32929,1.5353,1.57913,0.01724,0.00189905,0.00189905,0.00189905
31,1701.26,1.52812,1.48196,0.01139,0.64427,0.51683,0.5849,0.3463,1.52934,1.55181,0.01749,0.0018921,0.0018921,0.0018921
32,1754.5,1.53295,1.46219,0.01118,0.66469,0.53846,0.61156,0.34019,1.59014,1.39327,0.01801,0.00188493,0.00188493,0.00188493
33,1808.4,1.53344,1.42082,0.01124,0.59848,0.54999,0.5911,0.33451,1.56202,1.47559,0.01821,0.00187754,0.00187754,0.00187754
34,1861.1,1.52053,1.40876,0.01101,0.64467,0.54733,0.60712,0.3541,1.52436,1.487,0.01737,0.00186995,0.00186995,0.00186995
35,1915.24,1.5186,1.44388,0.01113,0.64511,0.55889,0.61989,0.35712,1.51456,1.43383,0.01716,0.00186213,0.00186213,0.00186213
36,1968.87,1.51047,1.4244,0.0111,0.65252,0.54845,0.61286,0.34872,1.60991,1.43962,0.01971,0.00185411,0.00185411,0.00185411
37,2022.24,1.49262,1.4026,0.01091,0.67232,0.53268,0.61074,0.3592,1.49815,1.40907,0.01722,0.00184588,0.00184588,0.00184588
38,2076.33,1.49285,1.40021,0.01074,0.64388,0.58053,0.62272,0.36678,1.54751,1.39766,0.01852,0.00183745,0.00183745,0.00183745
39,2130.55,1.51304,1.38774,0.01076,0.65196,0.52764,0.60735,0.34949,1.55779,1.46729,0.01865,0.00182881,0.00182881,0.00182881
40,2187.34,1.50105,1.37123,0.01106,0.66057,0.56851,0.64164,0.37418,1.4609,1.33066,0.01598,0.00181997,0.00181997,0.00181997
41,2245.69,1.48988,1.37221,0.01053,0.67714,0.56731,0.64128,0.38044,1.46092,1.34016,0.0159,0.00181093,0.00181093,0.00181093
42,2302.13,1.47528,1.35295,0.01061,0.67014,0.53486,0.61501,0.36918,1.51294,1.41632,0.01708,0.00180169,0.00180169,0.00180169
43,2359,1.46197,1.34846,0.01074,0.65208,0.56093,0.61765,0.35569,1.54488,1.5022,0.01828,0.00179225,0.00179225,0.00179225
44,2416.42,1.4747,1.32638,0.01052,0.70697,0.56611,0.65616,0.38718,1.44163,1.3709,0.01563,0.00178263,0.00178263,0.00178263
45,2470.98,1.46119,1.32549,0.01072,0.67648,0.54928,0.63048,0.37371,1.50276,1.38985,0.017,0.00177281,0.00177281,0.00177281
46,2525.75,1.46313,1.34851,0.01054,0.63391,0.57212,0.62448,0.3584,1.51831,1.45332,0.01715,0.0017628,0.0017628,0.0017628
47,2579.8,1.4788,1.31881,0.01057,0.66079,0.54207,0.62614,0.35687,1.53965,1.3478,0.01757,0.00175261,0.00175261,0.00175261
48,2633.19,1.45838,1.30855,0.01046,0.70914,0.5597,0.64333,0.37982,1.46367,1.32607,0.01583,0.00174223,0.00174223,0.00174223
49,2687.43,1.45427,1.30735,0.01058,0.68252,0.57212,0.64162,0.37811,1.49185,1.36524,0.01638,0.00173168,0.00173168,0.00173168
50,2739.69,1.44226,1.3328,0.01027,0.66571,0.59135,0.64012,0.38863,1.4364,1.39804,0.01513,0.00172095,0.00172095,0.00172095
51,2793.33,1.45404,1.29707,0.01037,0.68217,0.59375,0.64101,0.37309,1.53616,1.43464,0.01766,0.00171004,0.00171004,0.00171004
52,2845.05,1.4426,1.28852,0.01053,0.68732,0.58388,0.65812,0.38452,1.43947,1.31235,0.01563,0.00169895,0.00169895,0.00169895
53,2899.15,1.43707,1.30024,0.01014,0.64887,0.54195,0.6231,0.37694,1.43709,1.41527,0.0157,0.0016877,0.0016877,0.0016877
54,2951.25,1.4468,1.30996,0.01013,0.69363,0.58505,0.65445,0.39063,1.46005,1.3256,0.01601,0.00167628,0.00167628,0.00167628
55,3005.55,1.43707,1.26403,0.01009,0.71019,0.5773,0.64954,0.3888,1.47208,1.32491,0.01609,0.0016647,0.0016647,0.0016647
56,3057.65,1.44241,1.28066,0.01034,0.68649,0.57901,0.63488,0.37889,1.50042,1.32699,0.01681,0.00165295,0.00165295,0.00165295
57,3111.47,1.42061,1.27824,0.01014,0.68454,0.55814,0.63971,0.38163,1.4403,1.3274,0.01612,0.00164105,0.00164105,0.00164105
58,3163.46,1.42836,1.23807,0.0102,0.67273,0.58053,0.63676,0.37328,1.48904,1.37234,0.01645,0.00162899,0.00162899,0.00162899
59,3217.41,1.42544,1.25392,0.0103,0.67038,0.56711,0.62586,0.37111,1.445,1.40313,0.01566,0.00161678,0.00161678,0.00161678
60,3269.58,1.41852,1.26056,0.00987,0.66336,0.56369,0.62565,0.38409,1.4709,1.35303,0.01622,0.00160442,0.00160442,0.00160442
61,3323.57,1.40411,1.2299,0.00985,0.71548,0.57452,0.65082,0.39734,1.47897,1.28262,0.01644,0.00159191,0.00159191,0.00159191
62,3376.44,1.39721,1.20734,0.01007,0.73249,0.55649,0.65958,0.39643,1.4402,1.2934,0.01604,0.00157926,0.00157926,0.00157926
63,3431.03,1.39281,1.20572,0.01013,0.71517,0.54207,0.63185,0.38178,1.47678,1.39209,0.01708,0.00156646,0.00156646,0.00156646
64,3485.05,1.38943,1.20305,0.00957,0.70058,0.59135,0.65617,0.3916,1.47905,1.33927,0.01663,0.00155353,0.00155353,0.00155353
65,3539.64,1.40773,1.20542,0.00963,0.7026,0.59736,0.65273,0.39331,1.46765,1.3188,0.0157,0.00154047,0.00154047,0.00154047
