epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.6994,1.27618,3.35059,0.00814,0.0084,0.60577,0.18303,0.13638,1.00336,3.03593,0.00894,0.00328042,0.00328042,0.0704762
2,123.396,1.36013,2.1393,0.00877,0.517,0.41827,0.44534,0.2699,1.19436,1.94969,0.01183,0.00661358,0.00661358,0.040476
3,166.033,1.40595,1.92719,0.00929,0.56615,0.38741,0.45091,0.27712,1.33165,1.94126,0.0151,0.00994601,0.00994601,0.0104751
4,208.57,1.49076,1.89349,0.01034,0.57924,0.44591,0.50328,0.28718,1.53882,1.7626,0.0195,0.00999756,0.00999756,0.00999756
5,251.104,1.536,1.86201,0.01081,0.50155,0.47166,0.45117,0.22976,1.59242,2.10306,0.0203,0.00999566,0.00999566,0.00999566
6,294.587,1.54229,1.83795,0.01098,0.53952,0.43029,0.43188,0.22573,1.75592,2.05051,0.02408,0.00999322,0.00999322,0.00999322
7,336.793,1.52688,1.79005,0.01126,0.63816,0.41125,0.46929,0.26857,1.58451,1.81556,0.01946,0.00999023,0.00999023,0.00999023
8,379.162,1.51485,1.77063,0.01076,0.62693,0.4399,0.50587,0.28932,1.52863,1.76804,0.01779,0.00998671,0.00998671,0.00998671
9,421.939,1.5228,1.74633,0.01095,0.62696,0.46259,0.53456,0.30607,1.50231,1.67972,0.01741,0.00998264,0.00998264,0.00998264
10,465.83,1.5437,1.70416,0.01098,0.67301,0.45192,0.53055,0.29982,1.57124,1.66528,0.01928,0.00997803,0.00997803,0.00997803
11,511.865,1.54502,1.69449,0.01074,0.60767,0.44231,0.51135,0.29586,1.51106,1.86485,0.01796,0.00997288,0.00997288,0.00997288
12,555.26,1.52594,1.67066,0.01089,0.70785,0.39663,0.48729,0.25821,1.57559,1.88244,0.02002,0.0099672,0.0099672,0.0099672
13,598.67,1.52118,1.6205,0.01094,0.6251,0.43269,0.47906,0.27521,1.53998,1.88136,0.01821,0.00996097,0.00996097,0.00996097
14,641.462,1.51589,1.61407,0.0111,0.63936,0.47115,0.51518,0.27897,1.61404,1.84985,0.02013,0.0099542,0.0099542,0.0099542
15,683.063,1.53748,1.59055,0.01086,0.6642,0.49211,0.5618,0.31548,1.58409,1.72342,0.01944,0.0099469,0.0099469,0.0099469
16,726.325,1.53152,1.58831,0.0108,0.59812,0.46509,0.49506,0.28711,1.49321,1.65981,0.01727,0.00993906,0.00993906,0.00993906
17,769.777,1.53638,1.56037,0.01043,0.69011,0.45673,0.5265,0.30207,1.59619,1.84773,0.0179,0.00993068,0.00993068,0.00993068
18,813.208,1.52415,1.54501,0.01048,0.61292,0.50841,0.54674,0.30511,1.55933,1.78207,0.01813,0.00992177,0.00992177,0.00992177
19,855.656,1.51493,1.50444,0.01056,0.64867,0.55889,0.60356,0.33713,1.50091,1.52458,0.01771,0.00991232,0.00991232,0.00991232
20,897.836,1.51686,1.51475,0.01058,0.64799,0.51109,0.56524,0.31546,1.63831,1.61583,0.02045,0.00990234,0.00990234,0.00990234
21,939.566,1.50282,1.50932,0.0108,0.60081,0.52885,0.56703,0.31725,1.49655,1.57433,0.01819,0.00989183,0.00989183,0.00989183
22,981.931,1.50065,1.48847,0.01053,0.614,0.51683,0.57458,0.3244,1.53106,1.5818,0.01761,0.00988079,0.00988079,0.00988079
23,1025.99,1.51888,1.48637,0.01028,0.65317,0.5274,0.57322,0.3307,1.52654,1.53001,0.01787,0.00986922,0.00986922,0.00986922
24,1068.47,1.51333,1.47062,0.01039,0.65643,0.53726,0.58704,0.33538,1.5138,1.60938,0.01782,0.00985711,0.00985711,0.00985711
25,1113.65,1.50696,1.4684,0.01046,0.68393,0.4976,0.58637,0.33045,1.5905,1.48797,0.01893,0.00984449,0.00984449,0.00984449
26,1157.75,1.49608,1.4518,0.01056,0.66155,0.5,0.5841,0.34367,1.45346,1.47476,0.01619,0.00983133,0.00983133,0.00983133
27,1200.69,1.49844,1.42654,0.01031,0.67847,0.48678,0.56481,0.32433,1.58356,1.61206,0.01887,0.00981765,0.00981765,0.00981765
28,1243.75,1.4989,1.42038,0.01043,0.63577,0.52239,0.56825,0.32834,1.51117,1.58706,0.01763,0.00980345,0.00980345,0.00980345
29,1286.46,1.49475,1.39778,0.01058,0.66064,0.53581,0.59656,0.34025,1.55797,1.58076,0.01853,0.00978873,0.00978873,0.00978873
30,1328.02,1.48131,1.42172,0.01026,0.64926,0.53606,0.59372,0.34071,1.48024,1.58502,0.0171,0.00977349,0.00977349,0.00977349
31,1371.16,1.48249,1.41523,0.01045,0.69351,0.49498,0.56836,0.33069,1.54098,1.63956,0.01831,0.00975773,0.00975773,0.00975773
32,1414.4,1.48433,1.41006,0.01024,0.65437,0.54158,0.61206,0.34872,1.57253,1.44398,0.01946,0.00974145,0.00974145,0.00974145
33,1456.65,1.47703,1.38838,0.01018,0.69813,0.52885,0.61672,0.36892,1.50461,1.33523,0.01807,0.00972466,0.00972466,0.00972466
34,1498.59,1.49271,1.36301,0.01007,0.63432,0.53726,0.5647,0.33304,1.50589,1.58667,0.01785,0.00970736,0.00970736,0.00970736
35,1540.57,1.4696,1.36196,0.01028,0.67913,0.52644,0.61324,0.3564,1.43311,1.55019,0.01627,0.00968955,0.00968955,0.00968955
36,1583.2,1.4748,1.36916,0.00996,0.69465,0.51951,0.58877,0.34995,1.48224,1.59951,0.01697,0.00967122,0.00967122,0.00967122
37,1626.48,1.46191,1.33234,0.01018,0.66903,0.56366,0.62573,0.37859,1.51773,1.34326,0.01764,0.00965239,0.00965239,0.00965239
38,1668.5,1.49238,1.37407,0.01012,0.66067,0.51202,0.59245,0.33632,1.52774,1.42345,0.01766,0.00963306,0.00963306,0.00963306
39,1710.4,1.46986,1.35852,0.01008,0.65236,0.52524,0.58323,0.33868,1.58324,1.53073,0.01852,0.00961322,0.00961322,0.00961322
40,1751.77,1.47163,1.33815,0.00998,0.6653,0.55048,0.60734,0.35757,1.42665,1.47124,0.01531,0.00959289,0.00959289,0.00959289
