epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3632,1.35352,3.2625,0.0088,0.84327,0.09054,0.26708,0.17895,1.25113,4.15006,0.01537,0.000656085,0.000656085,0.000656085
2,115.85,1.55233,2.53431,0.01099,0.54808,0.34014,0.36562,0.19843,1.40656,2.7655,0.01599,0.00132272,0.00132272,0.00132272
3,153.004,1.61852,2.22757,0.01187,0.50231,0.375,0.38959,0.19535,1.69448,2.26421,0.02401,0.0019892,0.0019892,0.0019892
4,189.598,1.70464,2.07904,0.01291,0.56963,0.36589,0.41135,0.19191,1.89405,2.1293,0.02593,0.00199951,0.00199951,0.00199951
5,227.184,1.72907,1.98855,0.01306,0.50424,0.45192,0.45711,0.23511,1.76003,2.10005,0.02487,0.00199913,0.00199913,0.00199913
6,263.682,1.70408,1.90251,0.01294,0.53045,0.49639,0.48006,0.24275,1.71937,1.95558,0.02254,0.00199864,0.00199864,0.00199864
7,302.318,1.67895,1.84791,0.01308,0.51882,0.39915,0.40995,0.21308,1.71219,2.15696,0.02146,0.00199805,0.00199805,0.00199805
8,338.519,1.68685,1.79377,0.01283,0.5916,0.48558,0.51849,0.27111,1.75518,1.7969,0.02377,0.00199734,0.00199734,0.00199734
9,376.945,1.67993,1.76843,0.01289,0.65612,0.42655,0.51437,0.26802,1.76784,1.74661,0.02272,0.00199653,0.00199653,0.00199653
10,413.549,1.69973,1.73774,0.01283,0.60054,0.45913,0.5134,0.2743,1.69599,1.79882,0.02075,0.00199561,0.00199561,0.00199561
11,450.46,1.68074,1.73025,0.01232,0.6066,0.48317,0.5345,0.29594,1.57257,1.53766,0.0194,0.00199458,0.00199458,0.00199458
12,488.312,1.68458,1.71334,0.01274,0.62535,0.44952,0.50349,0.274,1.68087,1.83079,0.02122,0.00199344,0.00199344,0.00199344
13,524.623,1.66123,1.64492,0.01249,0.60028,0.47356,0.51913,0.27224,1.6967,1.74399,0.02253,0.00199219,0.00199219,0.00199219
