epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8265,1.29934,3.31909,0.00937,0.69218,0.15135,0.25941,0.15549,1.25495,4.18829,0.01491,0.000656085,0.000656085,0.000656085
2,111.513,1.49918,2.53837,0.01167,0.60218,0.39543,0.46054,0.26002,1.47678,2.40708,0.01812,0.00132265,0.00132265,0.00132265
3,149.028,1.56346,2.2125,0.0122,0.43005,0.29207,0.29502,0.13782,2.06267,2.57071,0.03322,0.00198882,0.00198882,0.00198882
4,184.721,1.63778,2.065,0.01342,0.46804,0.40144,0.36445,0.15954,1.9133,2.22532,0.02744,0.00199864,0.00199864,0.00199864
5,221.482,1.6918,1.97623,0.01374,0.51367,0.40369,0.4226,0.21273,1.69081,2.06657,0.02166,0.00199759,0.00199759,0.00199759
6,257.324,1.67633,1.905,0.01376,0.53435,0.3762,0.39386,0.19125,1.86795,2.20892,0.02602,0.00199623,0.00199623,0.00199623
7,292.773,1.61258,1.82056,0.01352,0.61335,0.45673,0.50451,0.25914,1.59913,1.66663,0.02064,0.00199458,0.00199458,0.00199458
8,329.468,1.63442,1.80952,0.01351,0.58632,0.46505,0.50376,0.2579,1.71281,1.73942,0.0211,0.00199262,0.00199262,0.00199262
9,364.357,1.6373,1.75994,0.01365,0.55999,0.46034,0.49761,0.26682,1.59481,1.7377,0.01972,0.00199037,0.00199037,0.00199037
10,401.107,1.6299,1.75242,0.0133,0.62768,0.49399,0.5226,0.28529,1.67371,1.56857,0.02133,0.00198781,0.00198781,0.00198781
11,436.649,1.61872,1.70788,0.01289,0.65804,0.47646,0.53843,0.29071,1.61801,1.66548,0.01907,0.00198496,0.00198496,0.00198496
12,471.837,1.61598,1.70076,0.01335,0.60883,0.43269,0.48828,0.26694,1.69193,1.72812,0.02162,0.00198181,0.00198181,0.00198181
13,508.722,1.60168,1.64918,0.01302,0.57444,0.50841,0.53452,0.29609,1.58628,1.67736,0.01906,0.00197837,0.00197837,0.00197837
14,545.247,1.57785,1.64636,0.01291,0.60063,0.49159,0.52221,0.27176,1.69249,1.66435,0.02082,0.00197463,0.00197463,0.00197463
15,582.754,1.57648,1.63574,0.01258,0.5577,0.45312,0.46821,0.25859,1.67856,1.80136,0.02104,0.00197059,0.00197059,0.00197059
16,618.14,1.59711,1.59594,0.01274,0.57103,0.48077,0.50466,0.27253,1.63646,1.67394,0.02108,0.00196627,0.00196627,0.00196627
17,655.157,1.58847,1.57647,0.01227,0.61361,0.46381,0.51592,0.29008,1.58915,1.63587,0.0189,0.00196165,0.00196165,0.00196165
18,691.512,1.58138,1.56136,0.01237,0.6347,0.46995,0.53941,0.28591,1.6804,1.57216,0.02105,0.00195674,0.00195674,0.00195674
19,727.524,1.57518,1.55049,0.01248,0.61275,0.45433,0.49102,0.25987,1.82669,1.76939,0.02632,0.00195155,0.00195155,0.00195155
